PERMNO,date,TICKER,PERMCO,PRC,VOL,RET,vwretd,sprtrn
91005,14/07/2011,KBE,39147,23.08000,12004800,-0.011563,-0.008051,-0.006716
91005,15/07/2011,KBE,39147,23.07000,3967600,-0.000433,0.006170,0.005554
91005,18/07/2011,KBE,39147,22.70000,3802400,-0.016038,-0.009490,-0.008130
91005,19/07/2011,KBE,39147,22.99000,6686900,0.012775,0.016167,0.016309
91005,20/07/2011,KBE,39147,23.29000,6776100,0.013049,0.000059,-0.000671
91005,21/07/2011,KBE,39147,23.85000,6169200,0.024045,0.012262,0.013546
91005,22/07/2011,KBE,39147,23.77000,3794000,-0.003354,0.001437,0.000908
91005,25/07/2011,KBE,39147,23.65000,3006400,-0.005048,-0.006279,-0.005643
91005,26/07/2011,KBE,39147,23.58000,3796900,-0.002960,-0.004540,-0.004105
91005,27/07/2011,KBE,39147,23.02000,5275300,-0.023749,-0.021650,-0.020309
91005,28/07/2011,KBE,39147,23.00000,2353000,-0.000869,-0.002935,-0.003234
91005,29/07/2011,KBE,39147,22.88000,4936300,-0.005217,-0.005607,-0.006451
91005,01/08/2011,KBE,39147,22.84000,3317900,-0.001748,-0.003619,-0.004132
91005,02/08/2011,KBE,39147,22.09000,5759000,-0.032837,-0.025672,-0.025557
91005,03/08/2011,KBE,39147,22.24000,5509200,0.006790,0.004954,0.005016
91005,04/08/2011,KBE,39147,21.09000,6659900,-0.051709,-0.050378,-0.047820
91005,05/08/2011,KBE,39147,20.62000,11753400,-0.022285,-0.004794,-0.000575
91005,08/08/2011,KBE,39147,18.45000,11804300,-0.105238,-0.068712,-0.066634
91005,09/08/2011,KBE,39147,19.70010,6727700,0.067756,0.051244,0.047407
91005,10/08/2011,KBE,39147,18.10000,11401900,-0.081223,-0.038591,-0.044152
91005,11/08/2011,KBE,39147,19.14000,7382300,0.057459,0.045274,0.046290
91005,12/08/2011,KBE,39147,18.80000,4043300,-0.017764,0.004753,0.005262
91005,15/08/2011,KBE,39147,19.53000,3278000,0.038830,0.022835,0.021785
91005,16/08/2011,KBE,39147,19.15000,3589800,-0.019457,-0.010898,-0.009739
91005,17/08/2011,KBE,39147,19.28000,2762800,0.006789,0.000841,0.000947
91005,18/08/2011,KBE,39147,18.22000,4622200,-0.054979,-0.045340,-0.044594
91005,19/08/2011,KBE,39147,17.68000,3952100,-0.029638,-0.015359,-0.015009
91005,22/08/2011,KBE,39147,17.48000,4289700,-0.011312,0.000040,0.000258
91005,23/08/2011,KBE,39147,18.15000,8648100,0.038330,0.033764,0.034285
91005,24/08/2011,KBE,39147,18.77000,4017400,0.034160,0.011574,0.013120
91005,25/08/2011,KBE,39147,18.77000,8449400,0.000000,-0.015902,-0.015566
91005,26/08/2011,KBE,39147,18.99000,3461500,0.011721,0.016430,0.015122
91005,29/08/2011,KBE,39147,19.83000,2949700,0.044234,0.029636,0.028280
91005,30/08/2011,KBE,39147,19.69000,4454600,-0.007060,0.003763,0.002347
