trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_id,combo_id,liquidation,combo_trade_id
34,260015067,2023-07-01 17:15:40,3,0.125,0.12916082,51.62,BTC-28JUN24-40000-C,30579.61,sell,,1.5,,,,
35,260054370,2023-07-02 20:12:05,0,0.1265,0.12831297,52.21,BTC-28JUN24-40000-C,30550.69,buy,,0.1,,,,
36,260082898,2023-07-03 06:56:36,0,0.129,0.12866518,52.6,BTC-28JUN24-40000-C,30654.86,buy,,0.1,,,,
37,260089972,2023-07-03 09:21:47,0,0.1315,0.13124106,53.13,BTC-28JUN24-40000-C,30666.6,sell,,0.1,,,,
38,260138892,2023-07-03 19:04:42,0,0.138,0.13862485,53.19,BTC-28JUN24-40000-C,31238.09,buy,,0.1,,,,
39,260139616,2023-07-03 19:12:00,0,0.1385,0.13780047,53.61,BTC-28JUN24-40000-C,31142.32,sell,,0.2,,,,
40,260271616,2023-07-05 13:37:44,2,0.129,0.12904596,53.63,BTC-28JUN24-40000-C,30260.4,buy,,4.0,,,,
41,260297898,2023-07-05 22:08:28,0,0.1349,0.13203462,54.52,BTC-28JUN24-40000-C,30475.09,buy,,25.0,83571,BTC-CS-28JUN24-40000_50000,,
42,260335410,2023-07-06 08:53:59,0,0.1375,0.14132764,53.08,BTC-28JUN24-40000-C,31268.6,sell,,1.7,,,,
43,260381527,2023-07-06 13:39:47,2,0.135,0.13619498,54.33,BTC-28JUN24-40000-C,30560.56,buy,,2.0,,,,
44,260482689,2023-07-07 08:01:47,2,0.131,0.13026942,55.0,BTC-28JUN24-40000-C,29996.23,buy,,4.0,,,,
45,260529484,2023-07-07 21:35:07,2,0.129,0.13385548,53.65,BTC-28JUN24-40000-C,30310.2,buy,,0.2,,,,
46,260547740,2023-07-08 11:32:26,0,0.135,0.13609787,55.43,BTC-28JUN24-40000-C,30213.16,sell,,0.1,,,,
47,260556009,2023-07-08 18:48:11,1,0.135,0.13390925,55.4,BTC-28JUN24-40000-C,30210.38,sell,,0.1,,,,
48,260604017,2023-07-10 06:51:27,2,0.131,0.13255581,54.87,BTC-28JUN24-40000-C,30092.13,sell,,0.1,,,,
49,260657503,2023-07-10 21:42:40,0,0.159,0.15930056,60.55,BTC-28JUN24-40000-C,30715.99,sell,,0.6,,,M,
50,260662262,2023-07-10 22:01:37,2,0.1335,0.13432847,55.12,BTC-28JUN24-40000-C,30348.46,sell,,0.1,,,,
51,260666936,2023-07-10 23:04:48,2,0.129,0.13202763,53.91,BTC-28JUN24-40000-C,30386.4,sell,,0.1,,,,
52,260666961,2023-07-10 23:05:41,3,0.129,0.13194921,53.92,BTC-28JUN24-40000-C,30385.11,sell,,0.1,,,,
53,260667113,2023-07-10 23:10:09,3,0.129,0.13162247,53.98,BTC-28JUN24-40000-C,30397.01,sell,,0.1,,,,
54,260667178,2023-07-10 23:15:50,0,0.1295,0.13069563,54.08,BTC-28JUN24-40000-C,30379.75,buy,,0.1,,,,
55,260668153,2023-07-11 00:01:18,0,0.134,0.13223146,55.09,BTC-28JUN24-40000-C,30424.09,buy,,0.1,,,,
56,260704923,2023-07-11 14:32:15,2,0.133,0.13182051,54.38,BTC-28JUN24-40000-C,30545.34,buy,,0.1,,,,
57,260707758,2023-07-11 15:15:55,3,0.133,0.13314905,54.1,BTC-28JUN24-40000-C,30645.77,buy,,0.5,,,,
58,260719100,2023-07-11 18:07:24,2,0.1315,0.13430295,53.78,BTC-28JUN24-40000-C,30559.76,sell,,0.1,,,,
59,260721738,2023-07-11 18:51:56,2,0.1305,0.13170089,53.9,BTC-28JUN24-40000-C,30477.38,sell,,0.1,,,,
60,260819241,2023-07-12 19:39:28,2,0.1295,0.13024788,54.23,BTC-28JUN24-40000-C,30258.39,sell,,0.1,,,,
61,260823530,2023-07-12 20:51:53,2,0.1275,0.12960442,53.56,BTC-28JUN24-40000-C,30332.22,sell,,0.1,,,,
62,260824668,2023-07-12 21:28:14,2,0.1265,0.12933779,53.27,BTC-28JUN24-40000-C,30347.54,sell,,0.1,,,,
63,260824905,2023-07-12 21:30:19,2,0.1255,0.1289502,53.02,BTC-28JUN24-40000-C,30337.4,sell,,0.2,,,,
64,260860942,2023-07-13 13:47:20,0,0.1285,0.12877375,52.93,BTC-28JUN24-40000-C,30649.98,sell,,0.1,,,,
65,261106688,2023-07-15 15:15:57,2,0.123,0.12553835,52.54,BTC-28JUN24-40000-C,30321.55,sell,,0.1,,,,
66,261182642,2023-07-17 15:56:00,2,0.121,0.12238486,52.7,BTC-28JUN24-40000-C,30180.17,sell,,0.1,,,,
67,261197290,2023-07-17 18:50:06,2,0.119,0.11890085,53.39,BTC-28JUN24-40000-C,29680.39,sell,,0.2,,,,
68,261228936,2023-07-18 08:20:05,0,0.1228,0.12065637,53.85,BTC-28JUN24-40000-C,29913.83,buy,,25.0,85792,,,
69,261351492,2023-07-20 10:26:51,0,0.127,0.12632452,53.76,BTC-28JUN24-40000-C,30397.68,buy,,1.7,,,,
70,261469550,2023-07-22 23:17:32,2,0.12,0.11983193,54.06,BTC-28JUN24-40000-C,29683.17,sell,,0.3,,,,
71,261470683,2023-07-22 23:33:47,2,0.1185,0.11883714,53.69,BTC-28JUN24-40000-C,29675.57,sell,,0.1,,,,
72,261473151,2023-07-23 00:38:56,0,0.12,0.12004723,53.86,BTC-28JUN24-40000-C,29777.89,sell,,0.1,,,,
73,261473177,2023-07-23 00:39:18,1,0.12,0.11996624,53.88,BTC-28JUN24-40000-C,29775.56,sell,,0.1,,,,
74,261473189,2023-07-23 00:40:03,1,0.12,0.11989954,53.91,BTC-28JUN24-40000-C,29768.9,sell,,0.1,,,,
75,261473437,2023-07-23 00:55:48,0,0.1205,0.12015418,54.08,BTC-28JUN24-40000-C,29771.19,buy,,0.1,,,,
76,261489156,2023-07-23 17:52:54,0,0.123,0.12211979,54.22,BTC-28JUN24-40000-C,29983.78,buy,,0.1,,,,
77,261489263,2023-07-23 17:55:21,1,0.123,0.12229639,54.16,BTC-28JUN24-40000-C,30003.56,buy,,0.2,,,,
78,261510818,2023-07-24 01:39:07,2,0.1215,0.12188051,53.89,BTC-28JUN24-40000-C,29902.93,sell,,0.1,,,,
79,261519071,2023-07-24 05:11:26,2,0.12,0.12068023,53.98,BTC-28JUN24-40000-C,29773.45,sell,,0.1,,,,
80,261553059,2023-07-24 13:55:42,2,0.1125,0.11361484,53.63,BTC-28JUN24-40000-C,29155.86,sell,,0.1,,,,
81,261553060,2023-07-24 13:55:42,3,0.1125,0.11361484,53.63,BTC-28JUN24-40000-C,29155.86,sell,,0.1,,,,
82,261553061,2023-07-24 13:55:42,3,0.1125,0.11361484,53.63,BTC-28JUN24-40000-C,29155.86,sell,,0.1,,,,
83,261596386,2023-07-25 10:03:05,0,0.1135,0.11152164,54.11,BTC-28JUN24-40000-C,29159.66,buy,,0.1,,,,
84,261596400,2023-07-25 10:03:27,1,0.1135,0.11150783,54.11,BTC-28JUN24-40000-C,29156.37,buy,,0.1,,,,
85,261604992,2023-07-25 14:43:35,2,0.111,0.11197129,53.33,BTC-28JUN24-40000-C,29189.0,sell,,1.5,,,,
86,261637134,2023-07-26 11:37:44,0,0.112,0.11123068,53.7,BTC-28JUN24-40000-C,29195.73,buy,,425.0,86670,BTC-CS-28JUN24-40000_55000,,
87,261673311,2023-07-26 21:13:16,0,0.115,0.1149052,53.19,BTC-28JUN24-40000-C,29620.74,buy,,0.1,,,,
88,261703786,2023-07-27 15:01:00,2,0.1115,0.11135857,53.12,BTC-28JUN24-40000-C,29321.58,buy,,0.1,,,,
89,261704983,2023-07-27 15:10:39,2,0.111,0.11162906,53.19,BTC-28JUN24-40000-C,29248.71,sell,,1.0,,,,
90,261724991,2023-07-28 02:26:28,0,0.113,0.11195349,53.92,BTC-28JUN24-40000-C,29232.35,buy,,0.1,,,,
91,261724992,2023-07-28 02:26:28,2,0.112,0.11195635,53.65,BTC-28JUN24-40000-C,29232.35,sell,,0.1,,,,
92,261730134,2023-07-28 05:53:30,2,0.11,0.11027158,53.3,BTC-28JUN24-40000-C,29159.94,sell,,0.1,,,,
93,261732935,2023-07-28 07:32:59,2,0.1075,0.10925007,52.59,BTC-28JUN24-40000-C,29180.45,sell,,0.1,,,,
94,261732940,2023-07-28 07:33:01,2,0.107,0.10924907,52.45,BTC-28JUN24-40000-C,29181.88,sell,,0.1,,,,
95,261732949,2023-07-28 07:33:02,3,0.107,0.10926169,52.45,BTC-28JUN24-40000-C,29181.81,sell,,0.1,,,,
96,261732952,2023-07-28 07:33:04,3,0.107,0.10926182,52.45,BTC-28JUN24-40000-C,29181.87,sell,,0.1,,,,
97,261732956,2023-07-28 07:33:05,3,0.107,0.10926216,52.45,BTC-28JUN24-40000-C,29181.86,sell,,0.1,,,,
98,261732960,2023-07-28 07:33:06,3,0.107,0.10926223,52.45,BTC-28JUN24-40000-C,29182.21,sell,,0.1,,,,
99,261743314,2023-07-28 09:22:21,0,0.1075,0.10855437,52.75,BTC-28JUN24-40000-C,29134.26,sell,,0.1,,,,
100,261743335,2023-07-28 09:23:08,1,0.1075,0.10856936,52.75,BTC-28JUN24-40000-C,29131.44,sell,,0.1,,,,
101,261803197,2023-07-30 15:58:55,2,0.105,0.10713755,51.68,BTC-28JUN24-40000-C,29346.95,sell,,1.0,,,,
102,261810073,2023-07-30 19:51:37,2,0.1045,0.10503256,52.08,BTC-28JUN24-40000-C,29153.06,sell,,0.1,,,,
103,261810074,2023-07-30 19:51:37,3,0.1045,0.10503256,52.08,BTC-28JUN24-40000-C,29153.06,sell,,0.1,,,,
104,261834795,2023-07-31 09:40:34,0,0.105,0.10646352,51.69,BTC-28JUN24-40000-C,29347.18,sell,,6.0,,,,
105,261835526,2023-07-31 10:06:18,0,0.1075,0.10682239,52.31,BTC-28JUN24-40000-C,29367.45,sell,,0.2,,,,
106,261835549,2023-07-31 10:07:25,2,0.106,0.10690854,51.89,BTC-28JUN24-40000-C,29372.7,sell,,0.1,,,,
107,261835679,2023-07-31 10:08:48,0,0.1085,0.10696641,52.58,BTC-28JUN24-40000-C,29377.76,buy,,0.1,,,,
108,261838872,2023-07-31 12:36:41,2,0.1075,0.10725179,52.21,BTC-28JUN24-40000-C,29434.54,sell,,0.3,,,,
109,261844339,2023-07-31 14:38:38,2,0.1045,0.10565078,51.74,BTC-28JUN24-40000-C,29303.86,sell,,6.0,,,,
110,261865087,2023-08-01 02:09:50,3,0.1045,0.10434215,52.3,BTC-28JUN24-40000-C,29101.6,sell,,0.3,,,,
111,261896081,2023-08-01 15:21:41,2,0.1,0.10081494,51.84,BTC-28JUN24-40000-C,28798.2,sell,,0.1,,,,
112,261950559,2023-08-02 01:24:19,0,0.113,0.11303162,52.35,BTC-28JUN24-40000-C,29912.64,sell,,0.1,,,,
113,261954169,2023-08-02 01:38:03,2,0.1125,0.11318438,52.19,BTC-28JUN24-40000-C,29909.11,sell,,0.1,,,,
114,261954170,2023-08-02 01:38:03,3,0.1125,0.11318438,52.19,BTC-28JUN24-40000-C,29909.11,sell,,0.1,,,,
115,261965409,2023-08-02 06:53:13,2,0.108,0.10928643,51.94,BTC-28JUN24-40000-C,29576.29,sell,,1.0,,,,
116,261981566,2023-08-02 13:32:07,2,0.1048,0.10696645,51.64,BTC-28JUN24-40000-C,29376.5,sell,,230.0,87951,,,
117,261984725,2023-08-02 14:10:56,2,0.1038,0.10632197,51.68,BTC-28JUN24-40000-C,29276.46,sell,,200.0,87962,,,
118,261985748,2023-08-02 14:21:00,0,0.1045,0.10645864,51.76,BTC-28JUN24-40000-C,29317.59,sell,,7.0,,,,
119,261989922,2023-08-02 15:20:43,2,0.1035,0.10499652,51.79,BTC-28JUN24-40000-C,29181.96,sell,,8.0,,,,
120,262012857,2023-08-02 21:13:35,0,0.106,0.10517378,52.77,BTC-28JUN24-40000-C,29097.82,sell,,0.4,,,,
121,262012862,2023-08-02 21:13:45,1,0.106,0.10518074,52.76,BTC-28JUN24-40000-C,29097.79,sell,,0.2,,,,
122,262019690,2023-08-03 02:06:00,2,0.1035,0.10451655,51.73,BTC-28JUN24-40000-C,29231.75,sell,,0.1,,,,
123,262019691,2023-08-03 02:06:00,3,0.1035,0.10451655,51.73,BTC-28JUN24-40000-C,29231.75,sell,,22.0,,,,
124,262037991,2023-08-03 11:43:11,2,0.1006,0.10222872,51.22,BTC-28JUN24-40000-C,29112.8,sell,,9.6,88125,,,
125,262097744,2023-08-04 13:53:28,0,0.1017,0.10127007,51.21,BTC-28JUN24-40000-C,29260.32,buy,,135.0,88413,BTC-CS-28JUN24-40000_55000,,
126,262099018,2023-08-04 14:06:32,2,0.1009,0.10038173,51.23,BTC-28JUN24-40000-C,29170.41,buy,,30.0,88421,BTC-CS-28JUN24-40000_55000,,
127,262112275,2023-08-04 19:42:21,2,0.0985,0.09964557,51.02,BTC-28JUN24-40000-C,29002.4,sell,,0.1,,,,
128,262130057,2023-08-05 09:56:42,2,0.098,0.09924541,50.87,BTC-28JUN24-40000-C,29027.21,sell,,0.1,,,,
129,262130059,2023-08-05 09:56:42,2,0.097,0.09924544,50.59,BTC-28JUN24-40000-C,29027.09,sell,,0.1,,,,
130,262130061,2023-08-05 09:56:42,2,0.095,0.09924544,50.03,BTC-28JUN24-40000-C,29027.09,sell,,0.1,,,,
131,262130063,2023-08-05 09:56:42,3,0.095,0.09924544,50.03,BTC-28JUN24-40000-C,29027.09,sell,,0.1,,,,
132,262149777,2023-08-06 12:36:10,3,0.095,0.09662221,50.16,BTC-28JUN24-40000-C,29021.97,sell,,0.2,,,,
133,262149788,2023-08-06 12:36:37,3,0.095,0.09659415,50.16,BTC-28JUN24-40000-C,29019.94,sell,,0.4,,,,
134,262154963,2023-08-06 18:17:31,3,0.095,0.09649787,50.04,BTC-28JUN24-40000-C,29057.22,sell,,0.2,,,,
135,262154964,2023-08-06 18:17:31,3,0.095,0.09649787,50.04,BTC-28JUN24-40000-C,29057.22,sell,,0.1,,,,
136,262176993,2023-08-07 10:38:14,0,0.097,0.09532911,50.72,BTC-28JUN24-40000-C,29038.42,buy,,0.1,,,,
137,262177060,2023-08-07 10:39:00,1,0.097,0.0955262,50.68,BTC-28JUN24-40000-C,29047.27,buy,,0.1,,,,
138,262177065,2023-08-07 10:39:26,0,0.0975,0.0955243,50.82,BTC-28JUN24-40000-C,29047.78,buy,,0.8,,,,
139,262181101,2023-08-07 13:11:48,0,0.098,0.09653296,51.09,BTC-28JUN24-40000-C,29006.95,buy,,1.0,,,,
140,262214820,2023-08-08 03:42:20,0,0.1,0.09862871,51.24,BTC-28JUN24-40000-C,29166.48,buy,,0.3,,,,
141,262215216,2023-08-08 04:29:26,0,0.1005,0.09786946,51.36,BTC-28JUN24-40000-C,29170.58,buy,,0.3,,,,
142,262226161,2023-08-08 11:26:26,2,0.0989,0.09844953,50.55,BTC-28JUN24-40000-C,29283.92,buy,,340.0,88838,BTC-CS-28JUN24-40000_55000,,
143,262254135,2023-08-08 17:04:45,0,0.102,0.10285237,50.34,BTC-28JUN24-40000-C,29681.28,buy,,25.0,88893,BTC-CS-28JUN24-40000_50000,,
144,262298228,2023-08-09 03:50:15,0,0.104,0.10472367,50.95,BTC-28JUN24-40000-C,29699.26,sell,,0.1,,,,
145,262298229,2023-08-09 03:50:15,1,0.104,0.10472367,50.95,BTC-28JUN24-40000-C,29699.26,sell,,0.1,,,,
146,262311517,2023-08-09 11:09:43,2,0.103,0.10367271,50.2,BTC-28JUN24-40000-C,29860.39,sell,,0.1,,,,
147,262313556,2023-08-09 12:28:05,0,0.105,0.10497985,50.78,BTC-28JUN24-40000-C,29863.19,sell,,0.1,,,,
148,262340493,2023-08-09 19:45:59,2,0.1035,0.10422635,51.44,BTC-28JUN24-40000-C,29460.5,sell,,0.2,,,,
149,262341460,2023-08-09 19:58:29,2,0.103,0.1036758,51.48,BTC-28JUN24-40000-C,29400.44,sell,,0.7,,,,
150,262362261,2023-08-10 09:58:55,3,0.103,0.10206284,51.28,BTC-28JUN24-40000-C,29503.49,buy,,0.1,,,,
151,262411758,2023-08-11 10:00:03,2,0.098,0.09662402,50.41,BTC-28JUN24-40000-C,29347.31,buy,,1.0,,,,
152,262450949,2023-08-12 15:35:53,3,0.098,0.09536436,50.22,BTC-28JUN24-40000-C,29437.21,buy,,0.2,,,,
153,262463522,2023-08-13 13:04:06,2,0.096,0.09321463,49.89,BTC-28JUN24-40000-C,29371.56,sell,,1.0,,,,
154,262470409,2023-08-13 21:53:03,2,0.0895,0.09245161,48.15,BTC-28JUN24-40000-C,29350.25,sell,,13.0,,,,
155,262470410,2023-08-13 21:53:03,3,0.0895,0.09245161,48.15,BTC-28JUN24-40000-C,29350.25,sell,,5.0,,,,
156,262470411,2023-08-13 21:53:03,3,0.0895,0.09245161,48.15,BTC-28JUN24-40000-C,29350.25,buy,,2.0,,,,
157,262502555,2023-08-14 14:20:37,2,0.089,0.0887874,47.96,BTC-28JUN24-40000-C,29379.33,buy,,1.6,,,,
158,262502694,2023-08-14 14:22:04,3,0.089,0.08885719,47.94,BTC-28JUN24-40000-C,29389.57,buy,,1.0,,,,
159,262503100,2023-08-14 14:26:59,3,0.089,0.08885606,47.88,BTC-28JUN24-40000-C,29408.14,buy,,1.0,,,,
160,262503991,2023-08-14 14:38:58,0,0.0893,0.08900039,47.92,BTC-28JUN24-40000-C,29422.84,buy,,12.5,89703,BTC-CS-28JUN24-40000_50000,,
161,262505030,2023-08-14 14:42:21,0,0.0895,0.08959092,47.8,BTC-28JUN24-40000-C,29494.33,buy,,3.5,,,,
162,262506082,2023-08-14 14:44:40,0,0.0901,0.08976788,47.87,BTC-28JUN24-40000-C,29517.96,buy,,12.5,89708,BTC-CS-28JUN24-40000_50000,,
163,262516732,2023-08-14 16:09:43,0,0.093,0.09271888,48.38,BTC-28JUN24-40000-C,29620.92,sell,,0.2,,,,
164,262539149,2023-08-15 00:54:24,2,0.09,0.08980618,48.2,BTC-28JUN24-40000-C,29383.64,sell,,0.1,,,,
165,262539454,2023-08-15 01:05:12,3,0.09,0.09007487,48.13,BTC-28JUN24-40000-C,29413.14,sell,,0.1,,,,
166,262539455,2023-08-15 01:05:14,3,0.09,0.09008278,48.13,BTC-28JUN24-40000-C,29413.19,sell,,0.1,,,,
167,262541304,2023-08-15 02:17:41,2,0.0895,0.08958593,48.12,BTC-28JUN24-40000-C,29357.55,sell,,0.1,,,,
168,262541305,2023-08-15 02:17:41,3,0.0895,0.08958593,48.12,BTC-28JUN24-40000-C,29357.55,sell,,0.1,,,,
169,262559711,2023-08-15 12:34:26,2,0.087,0.08728214,47.52,BTC-28JUN24-40000-C,29335.45,buy,,0.1,,,,
170,262636265,2023-08-16 17:24:32,2,0.086,0.08589082,48.16,BTC-28JUN24-40000-C,29063.69,sell,,0.1,,,,
171,262642555,2023-08-16 19:41:19,0,0.088,0.08687791,48.54,BTC-28JUN24-40000-C,29112.53,buy,,0.2,,,,
172,262654093,2023-08-16 22:20:03,2,0.0845,0.08473094,48.12,BTC-28JUN24-40000-C,28912.07,sell,,0.6,,,,
173,262654647,2023-08-16 22:49:20,3,0.0845,0.08450776,48.17,BTC-28JUN24-40000-C,28892.14,sell,,0.4,,,,
174,262667224,2023-08-17 00:44:39,2,0.0805,0.08107767,48.17,BTC-28JUN24-40000-C,28437.88,sell,,0.1,,,,
175,262669260,2023-08-17 00:45:11,2,0.08,0.08011563,48.32,BTC-28JUN24-40000-C,28363.93,sell,,0.1,,,,
176,262679017,2023-08-17 02:18:48,0,0.082,0.08157688,48.37,BTC-28JUN24-40000-C,28570.86,sell,,0.2,,,,
177,262679636,2023-08-17 02:23:07,1,0.082,0.08166542,48.37,BTC-28JUN24-40000-C,28568.54,sell,,0.2,,,,
178,262680011,2023-08-17 02:28:34,1,0.082,0.08185445,48.32,BTC-28JUN24-40000-C,28593.59,sell,,1.0,,,,
179,262681870,2023-08-17 03:15:19,2,0.0815,0.08182349,48.23,BTC-28JUN24-40000-C,28561.61,sell,,0.2,,,,
180,262681871,2023-08-17 03:15:21,2,0.081,0.08181284,48.09,BTC-28JUN24-40000-C,28561.6,sell,,0.2,,,,
181,262681872,2023-08-17 03:15:21,3,0.081,0.08181284,48.09,BTC-28JUN24-40000-C,28561.6,sell,,0.2,,,,
182,262681956,2023-08-17 03:17:15,2,0.0805,0.08183072,47.91,BTC-28JUN24-40000-C,28577.07,sell,,26.4,,,,
183,262685772,2023-08-17 04:32:58,0,0.0815,0.08192273,48.1,BTC-28JUN24-40000-C,28607.21,sell,,0.1,,,,
184,262686229,2023-08-17 04:53:52,0,0.082,0.08191601,48.25,BTC-28JUN24-40000-C,28607.7,sell,,0.1,,,,
185,262689138,2023-08-17 06:30:59,1,0.082,0.0821549,48.14,BTC-28JUN24-40000-C,28640.24,sell,,0.1,,,,
186,262689398,2023-08-17 06:38:29,2,0.0815,0.08185517,48.0,BTC-28JUN24-40000-C,28641.91,sell,,0.1,,,,
187,262689525,2023-08-17 06:42:59,3,0.0815,0.08182294,48.0,BTC-28JUN24-40000-C,28643.88,buy,,1.6,,,,
188,262689526,2023-08-17 06:42:59,3,0.0815,0.08182294,48.0,BTC-28JUN24-40000-C,28643.88,buy,,5.0,,,,
189,262689650,2023-08-17 06:47:22,3,0.0815,0.08173919,48.0,BTC-28JUN24-40000-C,28640.42,buy,,5.0,,,,
190,262689651,2023-08-17 06:47:22,3,0.0815,0.08173919,48.0,BTC-28JUN24-40000-C,28640.42,buy,,0.8,,,,
191,262693376,2023-08-17 08:20:32,0,0.082,0.0820307,48.37,BTC-28JUN24-40000-C,28559.64,sell,,0.1,,,,
192,262700728,2023-08-17 11:10:13,2,0.0815,0.08194244,48.44,BTC-28JUN24-40000-C,28492.85,sell,,0.1,,,,
193,262702285,2023-08-17 11:37:13,0,0.082,0.08164631,48.59,BTC-28JUN24-40000-C,28496.45,sell,,0.5,,,,
194,262702969,2023-08-17 12:00:16,2,0.081,0.08139807,48.26,BTC-28JUN24-40000-C,28502.39,sell,,0.1,,,,
195,262704291,2023-08-17 12:25:51,2,0.0801,0.08046551,48.16,BTC-28JUN24-40000-C,28443.03,buy,,6.3,90478,,,
196,262752954,2023-08-17 17:18:00,2,0.077,0.07876127,48.46,BTC-28JUN24-40000-C,27989.73,sell,,0.1,,,,
197,262768045,2023-08-17 20:54:44,2,0.076,0.07504696,49.4,BTC-28JUN24-40000-C,27519.89,sell,,0.1,,,,
198,262768046,2023-08-17 20:54:44,3,0.076,0.07504696,49.4,BTC-28JUN24-40000-C,27519.89,sell,,0.1,,,,
199,262772655,2023-08-17 21:35:10,3,0.076,0.07707466,49.01,BTC-28JUN24-40000-C,27677.16,sell,,4.0,,,,
200,262773000,2023-08-17 21:37:50,2,0.0755,0.07578584,49.18,BTC-28JUN24-40000-C,27560.33,sell,,0.1,,,,
201,262775316,2023-08-17 21:41:56,2,0.075,0.07389922,49.54,BTC-28JUN24-40000-C,27355.18,sell,,0.1,,,,
202,262775317,2023-08-17 21:41:56,3,0.075,0.07389922,49.54,BTC-28JUN24-40000-C,27355.18,sell,,0.1,,,,
